Product_ID,Base_Price,Competitor_Price,Customer_Rating,Demand_Elasticity,Seasonality,Marketing_Spend,Sales_Volume
1,49.96,50.85,4.9,-1.22,0,5003.67,3769
2,96.06,89.38,2.3,-0.39,0,5401.44,3060
3,78.56,80.46,2.9,-0.2,1,4164.85,2602
4,67.89,70.94,1.8,-1.59,0,9185.94,3290
5,32.48,35.28,3.4,-1.87,1,6120.6,3156
6,32.48,37.88,2.1,-0.25,2,7859.57,2180
7,24.65,28.82,1.8,-1.22,1,8306.26,2406
8,89.29,91.59,3.1,-0.92,1,4076.64,3192
9,68.09,67.74,1.0,-0.06,1,4903.25,2182
10,76.65,68.35,1.0,-1.87,2,8636.25,3687
11,21.65,23.8,1.9,-0.7,0,4269.3,2618
12,97.59,98.63,1.1,-1.85,2,8145.42,3923
13,86.6,87.96,1.4,-1.25,0,9468.93,3265
14,36.99,30.61,2.4,-0.39,1,6608.89,2648
15,34.55,29.14,4.2,-1.13,1,7674.65,2931
16,34.67,39.94,3.3,-0.01,1,8245.88,2855
17,44.34,44.14,3.1,-0.88,1,8605.36,3267
18,61.98,65.39,2.2,-1.36,1,4555.48,3157
19,54.56,54.7,4.7,-1.56,0,1461.37,3711
20,43.3,43.45,2.6,-1.3,0,4616.89,3331
21,68.95,73.64,1.3,-1.25,1,7063.81,3097
22,31.16,28.58,3.5,-1.86,2,5053.15,3397
23,43.37,43.85,1.5,-1.26,2,7740.67,2828
24,49.31,47.0,2.4,-1.07,1,4212.84,3318
25,56.49,54.32,3.0,-0.55,0,6712.7,3008
26,82.81,81.26,4.5,-0.69,2,2677.78,3580
27,35.97,37.08,3.0,-0.58,2,7744.32,2921
28,61.14,58.75,3.8,-1.98,2,5911.26,3859
29,67.39,73.67,5.0,-1.56,1,2836.58,3958
30,23.72,19.25,1.5,-0.68,2,3627.2,2615
31,68.6,67.67,2.1,-1.03,2,7737.48,3151
32,33.64,31.44,2.6,-1.99,2,5343.41,2953
33,25.2,32.43,2.7,-0.39,2,2944.28,3012
34,95.91,96.89,2.6,-0.45,0,9705.44,3147
35,97.25,102.41,4.6,-0.9,1,7436.13,3802
36,84.67,77.24,3.9,-1.87,1,9614.21,4308
37,44.37,45.71,3.4,-0.47,0,4843.95,2928
38,27.81,32.26,2.2,-0.83,0,5275.9,2774
39,74.74,75.15,4.3,-0.44,1,9081.6,2782
40,55.21,60.54,4.8,-0.5,2,5725.44,3658
41,29.76,27.17,4.3,-0.39,2,7365.51,2818
42,59.61,66.66,1.0,-0.96,1,3269.56,2771
43,22.75,34.24,3.5,-1.72,2,5020.54,3098
44,92.75,90.94,1.2,-0.66,0,2111.05,3251
45,40.7,38.47,2.0,-0.76,2,2853.82,2691
46,73.0,80.27,1.2,-0.52,2,1008.49,2937
47,44.94,52.84,3.4,-1.66,2,1353.39,3507
48,61.61,59.0,3.7,-1.61,1,9795.55,3539
49,63.74,61.64,1.5,-0.22,0,3181.18,2467
50,34.79,33.38,2.5,-0.5,2,6969.8,2650
51,97.57,90.85,2.8,-0.18,1,8551.9,2518
52,82.01,77.42,2.5,-0.48,2,5955.94,2965
53,95.16,90.14,1.5,-0.81,0,2378.3,3075
54,91.59,87.75,2.7,-0.69,2,7553.05,3283
55,67.83,67.66,4.0,-0.22,0,6402.26,2987
56,93.75,94.92,1.3,-0.84,2,7581.26,2917
57,27.08,34.83,1.3,-0.74,0,7927.72,2614
58,35.68,30.69,2.4,-1.69,2,9778.69,2958
59,23.62,28.54,4.8,-1.05,0,6162.07,2588
